ch	freq
101111111011110	1
110000000000000	59
110000000011010	1
110000000011101	1
110000001000100	1
110000001010011	1
110000001011000	1
110000001110011	1
110000001110100	1
110000001111000	1
110000001111010	1
110000001111011	1
110000001111100	1
110000010000000	1
110000011101010	1
110000100000000	1
110000100011100	1
110000101111100	1
110000110010110	1
110000110011000	1
110000111000000	1
110000111010000	1
110000111110101	1
110000111111101	1
110001000000000	2
110001001011110	1
110001010000000	2
110001010000010	1
110001010001001	1
110001011000000	1
110001011010111	1
110001011011010	1
110001011101100	1
110001011111100	1
110001100000000	3
110001100000001	1
110001100011110	1
110001100110011	1
110001110000000	3
110001110001110	1
110001110100000	1
110001110100110	1
110001111101100	1
110001111111100	1
110010000011100	1
110010001011000	1
110010100000000	2
110010110000000	1
110010110010000	1
110011000000000	1
110011001101101	1
110011010000000	2
110011010010000	1
110011010101100	1
110011100000000	4
110011100111101	1
110011101010101	1
110011101011000	1
110011101011100	1
110011101101111	1
110011101111111	1
110011110000000	2
110011110000101	1
110011110111010	1
110011110111111	1
110011111010000	1
110011111010001	1
110011111011101	1
110100000000000	7
110100000011100	1
110100000011111	1
110100000110011	1
110100001000000	1
110100001000111	1
110100001010000	1
110100001011001	1
110100001100100	1
110100001110101	1
110100001111000	1
110100010111010	1
110100011010100	1
110100100000000	1
110100100010000	1
110100100111000	1
110100110000001	2
110100110000010	1
110100110000011	1
110101000000000	1
110101000001100	1
110101001100001	1
110101010000000	1
110101011110101	1
110101100000000	1
110101100011100	1
110101101110111	1
110101110110000	1
110101111001101	1
110101111001110	1
110101111010100	1
110101111011100	1
110101111011110	1
110101111111100	1
110110001101101	1
110110010000000	1
110110010001110	1
110110010111100	1
110110011000110	1
110110011011100	1
110110100111000	1
110110101111110	1
110110110000000	1
110110110001011	1
110110110011000	1
110110111111111	1
110111000000000	1
110111000000001	1
110111000111000	1
110111001011110	1
110111010000000	3
110111100000000	2
110111100001001	1
110111100110111	1
110111101001100	1
110111101010111	1
110111101011000	1
110111101110110	1
110111110000000	2
110111110010100	1
110111110010111	1
111000000000000	16
111000000000001	1
111000000001000	1
111000001010101	1
111000001110011	1
111000001111000	2
111000001111010	1
111000010000000	1
111000010011101	1
111000010111110	1
111000011110000	1
111000011111000	1
111000100000001	1
111000100000011	1
111000100111100	1
111000101011100	1
111000101110111	1
111001000011111	1
111001000111010	1
111001001001001	1
111001010000000	2
111001010000001	1
111001010000010	1
111001011011100	1
111001011110100	1
111001011111000	1
111001100110000	1
111001100111100	1
111001101001100	1
111001110000000	3
111001110001010	1
111001110001100	1
111001110101110	1
111001110111000	1
111001111011100	1
111001111100000	1
111001111100001	1
111001111101001	1
111001111101111	1
111001111110010	1
111001111111100	1
111010000000000	1
111010001011100	1
111010010111011	1
111010011001101	1
111010011011100	1
111010101111100	1
111010110000001	1
111010110011000	2
111010110111000	2
111010110111110	1
111010111110100	1
111011000000000	1
111011000000010	1
111011000001100	1
111011000110000	1
111011001011100	1
111011001111100	1
111011010000000	2
111011010001111	1
111011011101001	1
111011011111011	1
111011100000000	1
111011100000001	1
111011100100101	1
111011101011000	1
111011101011100	1
111011101101100	1
111011110000000	4
111011110111010	1
111011111000100	1
111011111011100	1
111011111101000	2
111011111101001	1
111011111110100	1
111100000000000	27
111100000011001	1
111100000011100	1
111100000101111	1
111100000111000	1
111100001011001	1
111100001011011	1
111100001100110	1
111100001110010	1
111100010000010	1
111100010001101	1
111100011101101	1
111100100000000	1
111100100011000	1
111100100101010	1
111100100110010	1
111100100111100	1
111100110000000	2
111100111000000	1
111100111011010	1
111101000000000	1
111101000001100	1
111101000101101	1
111101010000000	1
111101010000111	1
111101011001010	1
111101011001111	1
111101011010100	1
111101011011000	1
111101100000000	2
111101100011010	1
111101100011011	1
111101100111000	1
111101101011001	1
111101101011111	1
111101101111000	1
111101101111011	1
111101101111101	1
111101101111110	1
111101110000000	7
111101110000001	1
111101110000010	1
111101110000011	1
111101110110010	1
111101110110100	1
111101110111000	1
111101111010100	1
111101111110000	1
111101111111000	1
111101111111100	1
111110000000010	1
111110001010011	1
111110011110000	1
111110100000000	2
111110110000000	2
111110110101100	2
111110111001111	1
111110111010100	1
111110111011100	1
111110111101100	1
111111001101010	1
111111010000000	4
111111010010100	1
111111010011011	1
111111010011100	1
111111011110101	1
111111100000000	3
111111100001001	1
111111100111001	1
111111101001100	1
111111101101000	1
111111101101111	1
111111101110011	1
111111101111000	1
111111110000000	4
111111110000011	1
111111110001000	1
111111110011011	1
111111110011101	1
111111110100100	1
111111110101011	1
111111110101100	1
111111110111011	1
111111110111100	1
111111111010100	1
111111111011100	1
111111111100101	1
111111111101010	1
111111111110000	1
111111111111000	1
