ch,sOpen,sSlope,pOpen11,pOpen12,pOpen13,pOpen14,pOpen15,pOpen16,pOpen17,pOpen18,pOpen19,pOpen21,pOpen22,pOpen23,pOpen24,pOpen25,pOpen26,pOpen27,pOpen28,pOpen29,pSlope11,pSlope12,pSlope13,pSlope14,pSlope15,pSlope16,pSlope17,pSlope18,pSlope19,pSlope21,pSlope22,pSlope23,pSlope24,pSlope25,pSlope26,pSlope27,pSlope28,pSlope29
.........000010001,0.236392263,12.36136232,0,0,0,0,0,0,0,0,0,0.32735426,0.32735426,0.32735426,0.32735426,0.32735426,0.32735426,0.022624434,0.022624434,0.022624434,0,0,0,0,0,0,0,0,0,13.31040917,13.31040917,13.31040917,7.636442823,7.636442823,7.636442823,9.242672022,9.242672022,9.242672022
.........00000.000,0.191408007,22.89429374,0,0,0,0,0,0,0,0,0,0.229357798,0.229357798,0.229357798,0.228310502,0.228310502,0.228310502,0.266968326,0.266968326,0.266968326,0,0,0,0,0,0,0,0,0,17.66795672,17.66795672,17.66795672,25.35178704,25.35178704,25.35178704,12.67545239,12.67545239,12.67545239
00.......00.10..0.,0.076248313,16.33715733,0.077777778,0.077777778,0.077777778,0.055555556,0.055555556,0.055555556,0,0,0,0.031390135,0.031390135,0.031390135,0.090909091,0.090909091,0.090909091,0,0,0,20.41343139,20.41343139,20.41343139,10.93519238,10.93519238,10.93519238,0,0,0,10.1311944,10.1311944,10.1311944,8.787794695,8.787794695,8.787794695,0,0,0
.............0.11.,0.123509561,24.96583229,0,0,0,0,0,0,0,0,0,0,0,0,0.085972851,0.085972851,0.085972851,0,0,0,0,0,0,0,0,0,0,0,0,22.21357714,22.21357714,22.21357714,18.954417,18.954417,18.954417,0,0,0
11.......110010110,0.048582996,17.95619444,0,0,0,0.055865922,0.055865922,0.055865922,0,0,0,0.140271493,0.140271493,0.140271493,0.055555556,0.055555556,0.055555556,0.009009009,0.009009009,0.009009009,21.30671478,21.30671478,21.30671478,16.08806515,16.08806515,16.08806515,0,0,0,7.963710834,7.963710834,7.963710834,14.57192573,14.57192573,14.57192573,17.59057437,17.59057437,17.59057437
.........001001000,0.039828983,12.92239687,0,0,0,0,0,0,0,0,0,0.146666667,0.146666667,0.146666667,0.089285714,0.089285714,0.089285714,0.027149321,0.027149321,0.027149321,0,0,0,0,0,0,0,0,0,8.283549884,8.283549884,8.283549884,9.312528786,9.312528786,9.312528786,16.64977653,16.64977653,16.64977653
000......11000000.,0.028127813,10.09145575,0,0,0,0.065934066,0.065934066,0.065934066,0,0,0,0.054545455,0.054545455,0.054545455,0,0,0,0.02690583,0.02690583,0.02690583,4.621917785,4.621917785,4.621917785,5.918925324,5.918925324,5.918925324,7.086780334,7.086780334,7.086780334,7.164098872,7.164098872,7.164098872,8.981242615,8.981242615,8.981242615,4.354235712,4.354235712,4.354235712
000......00.00.00.,0.166291629,14.30201015,0.327868852,0.327868852,0.327868852,0.016759777,0.016759777,0.016759777,0.247191011,0.247191011,0.247191011,0.050925926,0.050925926,0.050925926,0.392070485,0.392070485,0.392070485,0,0,0,11.04936082,11.04936082,11.04936082,20.20525511,20.20525511,20.20525511,12.11574798,12.11574798,12.11574798,13.48181865,13.48181865,13.48181865,10.87706204,10.87706204,10.87706204,0,0,0
000.........00000.,0.153396311,9.474124424,0.156424581,0.156424581,0.156424581,0.005464481,0.005464481,0.005464481,0.361111111,0.361111111,0.361111111,0.232142857,0.232142857,0.232142857,0.340807175,0.340807175,0.340807175,0.04954955,0.04954955,0.04954955,9.262750102,9.262750102,9.262750102,5.638867281,5.638867281,5.638867281,9.899504474,9.899504474,9.899504474,7.565228374,7.565228374,7.565228374,10.05902307,10.05902307,10.05902307,5.376054772,5.376054772,5.376054772
010......00000.101,0.259392576,10.74034877,0.175141243,0.175141243,0.175141243,0.284153005,0.284153005,0.284153005,0.160220994,0.160220994,0.160220994,0.031674208,0.031674208,0.031674208,0.304932735,0.304932735,0.304932735,0.331838565,0.331838565,0.331838565,12.74730287,12.74730287,12.74730287,7.369603784,7.369603784,7.369603784,4.002238679,4.002238679,4.002238679,10.55254042,10.55254042,10.55254042,7.815484528,7.815484528,7.815484528,8.067875998,8.067875998,8.067875998
.........000000000,0.096512936,13.87673,0,0,0,0,0,0,0,0,0,0.134529148,0.134529148,0.134529148,0.144144144,0.144144144,0.144144144,0.195555556,0.195555556,0.195555556,0,0,0,0,0,0,0,0,0,16.16313031,16.16313031,16.16313031,15.05915722,15.05915722,15.05915722,16.60163178,16.60163178,16.60163178
.........00100.000,0.139513951,7.580760744,0,0,0,0,0,0,0,0,0,0.071428571,0.071428571,0.071428571,0.009009009,0.009009009,0.009009009,0.298642534,0.298642534,0.298642534,0,0,0,0,0,0,0,0,0,11.26691154,11.26691154,11.26691154,8.41714926,8.41714926,8.41714926,10.43117625,10.43117625,10.43117625
.........001000000,0.184518452,10.53015639,0,0,0,0,0,0,0,0,0,0.433789954,0.433789954,0.433789954,0.253333333,0.253333333,0.253333333,0.303571429,0.303571429,0.303571429,0,0,0,0,0,0,0,0,0,7.415363882,7.415363882,7.415363882,9.219503883,9.219503883,9.219503883,11.40704443,11.40704443,11.40704443
.........100...111,0.103712036,15.32018108,0,0,0,0,0,0,0,0,0,0.095890411,0.095890411,0.095890411,0.066964286,0.066964286,0.066964286,0.121621622,0.121621622,0.121621622,0,0,0,0,0,0,0,0,0,4.981781306,4.981781306,4.981781306,7.83726065,7.83726065,7.83726065,13.78921721,13.78921721,13.78921721
.........00.00.0..,0.268616423,13.29812669,0,0,0,0,0,0,0,0,0,0.224215247,0.224215247,0.224215247,0.263392857,0.263392857,0.263392857,0,0,0,0,0,0,0,0,0,0,0,0,11.04557675,11.04557675,11.04557675,6.251575729,6.251575729,6.251575729,0,0,0
.........0.0100000,0.10378208,13.19523016,0,0,0,0,0,0,0,0,0,0.094170404,0.094170404,0.094170404,0.306306306,0.306306306,0.306306306,0.013574661,0.013574661,0.013574661,0,0,0,0,0,0,0,0,0,16.45320347,16.45320347,16.45320347,9.484102024,9.484102024,9.484102024,13.49177755,13.49177755,13.49177755
............00.00.,0.118811881,11.54200446,0,0,0,0,0,0,0,0,0,0.036363636,0.036363636,0.036363636,0.197247706,0.197247706,0.197247706,0.113122172,0.113122172,0.113122172,0,0,0,0,0,0,0,0,0,12.52562486,12.52562486,12.52562486,9.556825077,9.556825077,9.556825077,8.143420156,8.143420156,8.143420156
00.......00.00.0..,0.264295362,6.816107004,0.256830601,0.256830601,0.256830601,0.327683616,0.327683616,0.327683616,0,0,0,0.345132743,0.345132743,0.345132743,0.324200913,0.324200913,0.324200913,0,0,0,4.116711254,4.116711254,4.116711254,1.31653451,1.31653451,1.31653451,0,0,0,1.361740798,1.361740798,1.361740798,4.333597733,4.333597733,4.333597733,0,0,0
.........0000000.0,0.25264342,10.2996688,0,0,0,0,0,0,0,0,0,0.294117647,0.294117647,0.294117647,0.425339367,0.425339367,0.425339367,0.395555556,0.395555556,0.395555556,0,0,0,0,0,0,0,0,0,10.83556121,10.83556121,10.83556121,11.70783611,11.70783611,11.70783611,7.883801652,7.883801652,7.883801652
.........100101001,0.108710331,14.1165405,0,0,0,0,0,0,0,0,0,0.255605381,0.255605381,0.255605381,0.121621622,0.121621622,0.121621622,0.013452915,0.013452915,0.013452915,0,0,0,0,0,0,0,0,0,13.3814289,13.3814289,13.3814289,15.98062811,15.98062811,15.98062811,7.546277631,7.546277631,7.546277631
001.......10000100,0.076749944,15.52592858,0.005586592,0.005586592,0.005586592,0.232044199,0.232044199,0.232044199,0.222222222,0.222222222,0.222222222,0.215246637,0.215246637,0.215246637,0.008810573,0.008810573,0.008810573,0.075555556,0.075555556,0.075555556,16.69306386,16.69306386,16.69306386,17.97811597,17.97811597,17.97811597,12.61207503,12.61207503,12.61207503,15.65589386,15.65589386,15.65589386,13.67764401,13.67764401,13.67764401,18.33197467,18.33197467,18.33197467
.........01000.010,0.123367852,9.618212522,0,0,0,0,0,0,0,0,0,0.168181818,0.168181818,0.168181818,0.156950673,0.156950673,0.156950673,0.242152466,0.242152466,0.242152466,0,0,0,0,0,0,0,0,0,11.36379144,11.36379144,11.36379144,15.20742989,15.20742989,15.20742989,6.77392704,6.77392704,6.77392704
000000...11.11.11.,0.09334233,8.987419935,0.206703911,0.206703911,0.206703911,0.021978022,0.021978022,0.021978022,0.033149171,0.033149171,0.033149171,0.279279279,0.279279279,0.279279279,0.063348416,0.063348416,0.063348416,0,0,0,4.513150714,4.513150714,4.513150714,12.76897519,12.76897519,12.76897519,9.17093589,9.17093589,9.17093589,6.275550271,6.275550271,6.275550271,13.19033939,13.19033939,13.19033939,0,0,0
000000...000000000,0.255343082,16.10274467,0.088888889,0.088888889,0.088888889,0.424581006,0.424581006,0.424581006,0.143646409,0.143646409,0.143646409,0.452488688,0.452488688,0.452488688,0.274774775,0.274774775,0.274774775,0.108108108,0.108108108,0.108108108,17.73765273,17.73765273,17.73765273,15.70110814,15.70110814,15.70110814,19.71253591,19.71253591,19.71253591,19.92664476,19.92664476,19.92664476,13.05756369,13.05756369,13.05756369,19.45075681,19.45075681,19.45075681
.........00000.011,0.478955661,13.78188691,0,0,0,0,0,0,0,0,0,0.271111111,0.271111111,0.271111111,0.466666667,0.466666667,0.466666667,0.467592593,0.467592593,0.467592593,0,0,0,0,0,0,0,0,0,12.31656912,12.31656912,12.31656912,19.2567671,19.2567671,19.2567671,17.89859115,17.89859115,17.89859115
.........00.0..00.,0.220872695,16.0236444,0,0,0,0,0,0,0,0,0,0.040723982,0.040723982,0.040723982,0.212669683,0.212669683,0.212669683,0,0,0,0,0,0,0,0,0,0,0,0,6.649470969,6.649470969,6.649470969,11.79309564,11.79309564,11.79309564,0,0,0
.........0..00..0.,0.064595994,10.06734645,0,0,0,0,0,0,0,0,0,0.05,0.05,0.05,0.017857143,0.017857143,0.017857143,0,0,0,0,0,0,0,0,0,0,0,0,10.31530137,10.31530137,10.31530137,10.63443768,10.63443768,10.63443768,0,0,0
.........00.00..0.,0.158569501,14.57674999,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.153846154,0.153846154,0.153846154,0,0,0,0,0,0,0,0,0,0,0,0,7.884317781,7.884317781,7.884317781,7.901027735,7.901027735,7.901027735,0,0,0
............00.11.,0.065931593,21.39905025,0,0,0,0,0,0,0,0,0,0.03125,0.03125,0.03125,0.081447964,0.081447964,0.081447964,0,0,0,0,0,0,0,0,0,0,0,0,18.15954527,18.15954527,18.15954527,18.02365373,18.02365373,18.02365373,0,0,0
.........1..00.11.,0.137395997,17.46726562,0,0,0,0,0,0,0,0,0,0.090497738,0.090497738,0.090497738,0.004464286,0.004464286,0.004464286,0,0,0,0,0,0,0,0,0,0,0,0,4.591140046,4.591140046,4.591140046,13.20547893,13.20547893,13.20547893,0,0,0
.........00.00.00.,0.24803061,15.97316263,0,0,0,0,0,0,0,0,0,0.120535714,0.120535714,0.120535714,0.262443439,0.262443439,0.262443439,0,0,0,0,0,0,0,0,0,0,0,0,15.72281981,15.72281981,15.72281981,8.741028521,8.741028521,8.741028521,0,0,0
000......00.000000,0.413459374,19.49237102,0.252808989,0.252808989,0.252808989,0.553672316,0.553672316,0.553672316,0.43956044,0.43956044,0.43956044,0.286995516,0.286995516,0.286995516,0.278026906,0.278026906,0.278026906,0.604444444,0.604444444,0.604444444,13.17821416,13.17821416,13.17821416,22.7136854,22.7136854,22.7136854,12.05727598,12.05727598,12.05727598,10.94061702,10.94061702,10.94061702,10.59575387,10.59575387,10.59575387,20.81065602,20.81065602,20.81065602
..........0.000000,0.231046119,17.11310867,0,0,0,0,0,0,0,0,0,0.175925926,0.175925926,0.175925926,0.054298643,0.054298643,0.054298643,0.152466368,0.152466368,0.152466368,0,0,0,0,0,0,0,0,0,14.29326199,14.29326199,14.29326199,16.17638968,16.17638968,16.17638968,21.74166205,21.74166205,21.74166205
.........00.0..00.,0.27430243,11.96869948,0,0,0,0,0,0,0,0,0,0.085972851,0.085972851,0.085972851,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,8.845542899,8.845542899,8.845542899,11.22625236,11.22625236,11.22625236,0,0,0
............00.10.,0.161304837,16.92042778,0,0,0,0,0,0,0,0,0,0.163636364,0.163636364,0.163636364,0.188340807,0.188340807,0.188340807,0,0,0,0,0,0,0,0,0,0,0,0,16.8893171,16.8893171,16.8893171,11.09931668,11.09931668,11.09931668,0,0,0
.........0..000.00,0.210621062,11.35371879,0,0,0,0,0,0,0,0,0,0.347031963,0.347031963,0.347031963,0.134529148,0.134529148,0.134529148,0.073394495,0.073394495,0.073394495,0,0,0,0,0,0,0,0,0,13.23992171,13.23992171,13.23992171,2.918087661,2.918087661,2.918087661,3.103200032,3.103200032,3.103200032
.........00.000.00,0.239027684,13.09901885,0,0,0,0,0,0,0,0,0,0.239819005,0.239819005,0.239819005,0.094170404,0.094170404,0.094170404,0.185520362,0.185520362,0.185520362,0,0,0,0,0,0,0,0,0,11.97550566,11.97550566,11.97550566,8.874479814,8.874479814,8.874479814,12.78153838,12.78153838,12.78153838
.........00.00.00.,0.183168317,12.64202622,0,0,0,0,0,0,0,0,0,0.110619469,0.110619469,0.110619469,0.287037037,0.287037037,0.287037037,0,0,0,0,0,0,0,0,0,0,0,0,14.37621787,14.37621787,14.37621787,13.74477858,13.74477858,13.74477858,0,0,0
000......00.00.00.,0.490438695,19.17047703,0.422222222,0.422222222,0.422222222,0.17877095,0.17877095,0.17877095,0.340782123,0.340782123,0.340782123,0.444933921,0.444933921,0.444933921,0.263392857,0.263392857,0.263392857,0,0,0,14.87073784,14.87073784,14.87073784,22.94910112,22.94910112,22.94910112,16.94556778,16.94556778,16.94556778,15.12716255,15.12716255,15.12716255,16.5706402,16.5706402,16.5706402,0,0,0
00..........000000,0.343082115,14.34400144,0.418994413,0.418994413,0.418994413,0.076923077,0.076923077,0.076923077,0,0,0,0.2760181,0.2760181,0.2760181,0.445454545,0.445454545,0.445454545,0.234234234,0.234234234,0.234234234,16.08331959,16.08331959,16.08331959,10.7563593,10.7563593,10.7563593,0,0,0,10.05106474,10.05106474,10.05106474,17.84506368,17.84506368,17.84506368,13.64982914,13.64982914,13.64982914
00.00....00.00.00.,0.731443995,16.26240705,0.435028249,0.435028249,0.435028249,0.722222222,0.722222222,0.722222222,0,0,0,0.900900901,0.900900901,0.900900901,0.798165138,0.798165138,0.798165138,0,0,0,12.88797348,12.88797348,12.88797348,11.28692098,11.28692098,11.28692098,0,0,0,22.04023245,22.04023245,22.04023245,13.29546601,13.29546601,13.29546601,0,0,0
010000....0000011.,0.22357175,13.11044356,0.331460674,0.331460674,0.331460674,0.13559322,0.13559322,0.13559322,0.363128492,0.363128492,0.363128492,0.293577982,0.293577982,0.293577982,0.098214286,0.098214286,0.098214286,0.25,0.25,0.25,8.830088312,8.830088312,8.830088312,17.18361538,17.18361538,17.18361538,10.99685134,10.99685134,10.99685134,9.668793361,9.668793361,9.668793361,19.8354171,19.8354171,19.8354171,14.31693492,14.31693492,14.31693492
011.......10100111,0.2287964,18.94759005,0.205555556,0.205555556,0.205555556,0.165745856,0.165745856,0.165745856,0.273743017,0.273743017,0.273743017,0.008928571,0.008928571,0.008928571,0.031818182,0.031818182,0.031818182,0.351351351,0.351351351,0.351351351,22.35942659,22.35942659,22.35942659,15.63563943,15.63563943,15.63563943,20.53974413,20.53974413,20.53974413,14.1268601,14.1268601,14.1268601,17.69274539,17.69274539,17.69274539,12.26931821,12.26931821,12.26931821
00.00.......00000.,0.116085489,15.21294645,0.056179775,0.056179775,0.056179775,0.088888889,0.088888889,0.088888889,0,0,0,0.08,0.08,0.08,0.040540541,0.040540541,0.040540541,0.130044843,0.130044843,0.130044843,14.92277954,14.92277954,14.92277954,17.91916476,17.91916476,17.91916476,0,0,0,12.22639751,12.22639751,12.22639751,15.97123104,15.97123104,15.97123104,14.01723344,14.01723344,14.01723344
000000...0.0000000,0.199639883,9.976656871,0.288888889,0.288888889,0.288888889,0.160220994,0.160220994,0.160220994,0.072222222,0.072222222,0.072222222,0.258928571,0.258928571,0.258928571,0.120535714,0.120535714,0.120535714,0.288288288,0.288288288,0.288288288,11.69940411,11.69940411,11.69940411,7.582227424,7.582227424,7.582227424,10.73736877,10.73736877,10.73736877,8.360473126,8.360473126,8.360473126,6.851374037,6.851374037,6.851374037,10.76610523,10.76610523,10.76610523
000......00.00011.,0.242233228,12.08853009,0.457627119,0.457627119,0.457627119,0.322222222,0.322222222,0.322222222,0.348066298,0.348066298,0.348066298,0.432432432,0.432432432,0.432432432,0.488888889,0.488888889,0.488888889,0.375,0.375,0.375,15.86132342,15.86132342,15.86132342,12.65435967,12.65435967,12.65435967,8.599680764,8.599680764,8.599680764,14.10280837,14.10280837,14.10280837,15.10904498,15.10904498,15.10904498,11.8446589,11.8446589,11.8446589
.........111011000,0.098131893,8.776231345,0,0,0,0,0,0,0,0,0,0.0625,0.0625,0.0625,0.027149321,0.027149321,0.027149321,0.03652968,0.03652968,0.03652968,0,0,0,0,0,0,0,0,0,8.389674096,8.389674096,8.389674096,7.887180356,7.887180356,7.887180356,7.414837401,7.414837401,7.414837401
.........00.00.10.,0.165617978,29.4792481,0,0,0,0,0,0,0,0,0,0.214285714,0.214285714,0.214285714,0.130630631,0.130630631,0.130630631,0,0,0,0,0,0,0,0,0,0,0,0,18.53104608,18.53104608,18.53104608,22.89420042,22.89420042,22.89420042,0,0,0
............110000,0.047019123,15.43779791,0,0,0,0,0,0,0,0,0,0.026785714,0.026785714,0.026785714,0.075555556,0.075555556,0.075555556,0.151785714,0.151785714,0.151785714,0,0,0,0,0,0,0,0,0,7.661990527,7.661990527,7.661990527,16.13561635,16.13561635,16.13561635,16.40717768,16.40717768,16.40717768
