ch weight age sex region
1110000 11.6277169 1 M 3
1000000  9.1896285 1 M 4
1000000  8.3545769 1 M 1
1010000 13.7417424 1 M 2
1110000  9.3132241 1 M 3
1000000  9.2035459 1 M 4
1010000 10.2772190 1 M 1
1110101  9.0791726 1 M 2
1000000 10.2865256 1 M 3
1000000 10.3639567 1 M 4
1000000 11.1701467 1 M 1
1000000  6.4994237 1 M 2
1000000  7.7259911 1 M 3
1111101 11.2039106 1 M 4
1110100  5.6556492 1 M 1
1010011 12.3479205 1 M 2
1000000  6.8951934 1 M 3
1111000 10.9192618 1 M 4
1100000  7.2795385 1 M 1
1010000  7.6818732 1 M 2
1110000  9.1900565 1 M 3
1000000  6.7825829 1 M 4
1000000  7.9925747 1 M 1
1000000  3.6806643 1 M 2
1010100 10.9686781 1 M 3
1101000  5.9717930 1 M 4
1111000  7.3212268 1 M 1
1011000  9.1455086 1 M 2
1011011  9.5888446 1 M 3
1110100  3.6495634 1 M 4
1000000 11.4936070 1 M 1
1000000 11.5834005 1 M 2
1000000 10.0013828 1 M 3
1000000 10.9778481 1 M 4
1000000  9.6058332 1 M 1
1100000 13.6725841 1 M 2
1110000 11.3035143 1 M 3
1000000 14.4030201 1 M 4
1110001 10.1109434 1 M 1
1000000  7.6582559 1 M 2
1011111 14.2767357 1 M 3
1000000  7.7568761 1 M 4
1000000  8.4694870 1 M 1
1110110  8.7684019 1 M 2
1000000  6.4916742 1 M 3
1000000  8.2145750 1 M 4
1000000 10.8040520 1 M 1
1111000  6.3926938 1 M 2
1011110  9.4592497 1 M 3
1011000 10.3450193 1 M 4
1000000  6.9839916 1 M 1
1000000  9.3476137 1 M 2
1000000  8.4945267 1 M 3
1000000  7.0205230 1 M 4
1100000 10.1139165 1 M 1
1000000 11.7237049 1 M 2
1000000  3.9149528 1 M 3
1010111  8.5625957 1 M 4
1010000  8.0187695 1 M 1
1110000  9.2772086 1 M 2
1110000  9.1315308 1 M 3
1000000 13.9676817 1 M 4
1110000  7.1489913 1 M 1
1011100 11.6437515 1 M 2
1000000  9.9955990 1 M 3
1000000 13.4901532 1 M 4
1000000  8.8493839 1 M 1
1000000  7.3394719 1 M 2
1000000 10.5911466 1 M 3
1000000 13.7657056 1 M 4
1110000  7.7818619 1 M 1
1010101 12.3661967 1 M 2
1000000  4.4476614 1 M 3
1000000 10.2408231 1 M 4
1110000 15.4747094 1 M 1
1000000  9.6072906 1 M 2
1000000 12.5496576 1 M 3
1000000  5.0063007 1 M 4
1011100 15.1265253 1 M 1
1000000 10.3797459 1 M 2
1111100  7.5830533 1 M 3
1100000  7.2204676 1 M 4
1000000 12.9740737 1 M 1
1000000  9.5889093 1 M 2
1000000  6.1598579 1 M 3
1100000  9.7065657 1 M 4
1000000  7.0308272 1 M 1
1010000  6.1151903 1 M 2
1110000 11.3454510 1 M 3
1010000  5.9854406 1 M 4
1000000  3.1954707 1 M 1
1000000  4.1614969 1 M 2
1101000 10.3543924 1 M 3
1010000  9.5438953 1 M 4
1010000  7.2711838 1 M 1
1000000  9.5348127 1 M 2
1000000 10.6657881 1 M 3
1010011 10.9456980 1 M 4
1111011  7.1266202 1 M 1
1000000 13.4474222 1 M 2
1010000  7.9841655 1 M 3
1000000 17.2342217 1 M 4
1010111 12.2691486 1 M 1
1110101 11.5858849 1 M 2
1000000  7.5320189 1 M 3
1000000 14.7050051 1 M 4
1100111 11.8178763 1 M 1
1000000 13.1348462 1 M 2
1111101 13.7468961 1 M 3
1000000  4.6361139 1 M 4
1110000 10.6454344 1 M 1
1000000 10.0886025 1 M 2
1010011 10.6686923 1 M 3
1000000 10.2495473 1 M 4
1110000 11.7369354 1 M 1
1000000  5.8443701 1 M 2
1000000  7.3463405 1 M 3
1000000 10.0474772 1 M 4
1000000 10.7567970 1 M 1
1011111  9.3757805 1 M 2
1000000 10.3591804 1 M 3
1111100 11.5540097 1 M 4
1000000  6.9000183 1 M 1
1000000  6.0846318 1 M 2
1111111 13.3479001 1 M 3
1110100  9.4480773 1 M 4
1000000 14.0357996 1 M 1
1000000  5.9634531 1 M 2
1000000 14.5525569 1 M 3
1000000  9.5879640 1 M 4
1110000 11.3105890 1 M 1
1010000 11.5851440 1 M 2
1000000  8.2692969 1 M 3
1010000 11.1740131 1 M 4
1000000  9.7574785 1 M 1
1010100  7.4843997 1 M 2
1000000  6.3526483 1 M 3
1000000 12.7744390 1 M 4
1000000 10.1067337 1 M 1
1100000  3.6000268 1 M 2
1000000 11.9937930 1 M 3
1000000  7.0686805 1 M 4
1000000  4.2865816 1 M 1
1000000 11.1296806 1 M 2
1100101 10.4246763 1 M 3
1100001 12.4318778 1 M 4
1010111 10.2890938 1 M 1
1010101  9.8046767 1 M 2
1111100 11.9402029 1 M 3
1000000  9.8396412 1 M 4
1110000 13.3041646 1 M 1
1000000 11.5477357 1 M 2
1000000  7.2478576 1 M 3
1000000 16.7401978 1 M 4
1010000  8.3684591 1 M 1
1000000 13.8801421 1 M 2
1000000  8.4726841 1 M 3
1111111  7.2169673 1 M 4
1010000  5.3612089 1 M 1
1111101 12.0380909 1 M 2
1010111 10.4622667 1 M 3
1000000 10.9404937 1 M 4
1000000 14.7876624 1 M 1
1000000 10.3078616 1 M 2
1110000 13.4920104 1 M 3
1010000 13.9832792 1 M 4
1110000 13.7108822 1 M 1
1011011  9.9206560 1 M 2
1010000 10.6915074 1 M 3
1000000  9.0922529 1 M 4
1000000  5.3561715 1 M 1
1000000 10.1110535 1 M 2
1111110  9.4846946 1 M 3
1110111 13.4114659 1 M 4
1001111 10.2521318 1 M 1
1000000  8.3443101 1 M 2
1110100 15.8998480 1 M 3
1110010 14.0157688 1 M 4
1000000 10.8419068 1 M 1
1000000 14.0117584 1 M 2
1000000 11.8649594 1 M 3
1110111  6.6026310 1 M 4
1000000  8.0543608 1 M 1
1010100  9.8626004 1 M 2
1000000  7.3475494 1 M 3
1000000  9.2083545 1 M 4
1010000  9.4219653 1 M 1
1110111 13.7345693 1 M 2
1111100  6.8743677 1 M 3
1011101 13.8642982 1 M 4
1000000 11.3806939 1 M 1
1011100  5.8512396 1 M 2
1000000 11.0694912 1 M 3
1111000 11.3814126 1 M 4
1100000 12.7699817 1 M 1
1110000  7.3150703 1 M 2
1000000 12.5632082 1 M 3
1000000 10.5869242 1 M 4
1111000 10.3884443 1 M 1
1100000  9.8062833 1 M 2
1100100 12.0903444 1 M 3
1010000  9.6721856 1 M 4
1110000  6.7039111 1 M 1
1000000  9.8613848 1 M 2
1000000  8.9771082 1 M 3
1000000  9.0739719 1 M 4
1000000 16.0452287 1 M 1
1000000  9.7528326 1 M 2
1010000  9.7369045 1 M 3
1010001  6.7692576 1 M 4
1000000 12.7806563 1 M 1
1000000  5.0927030 1 M 2
1110000 15.1807383 1 M 3
1000000  9.9472417 1 M 4
1010000  6.5465891 1 M 1
1000000 13.4086812 1 M 2
1000000 10.8058754 1 M 3
1011001 12.2235750 1 M 4
1000000  7.1248012 1 M 1
1111111 13.8967366 1 M 2
1010000 10.3358030 1 M 3
1000000  8.0891036 1 M 4
1000000  6.1854349 1 M 1
1000000 10.1122197 1 M 2
1000000 11.8064687 1 M 3
1110100  3.7197053 1 M 4
1111000 11.6803308 1 M 1
1000000  8.8496504 1 M 2
1000000 12.8460512 1 M 3
1110000 14.1209357 1 M 4
1010000 12.5277660 1 M 1
1000000  8.2390328 1 M 2
1111100 15.0150122 1 M 3
1010000 12.1797430 1 M 4
1011001 11.4373228 1 M 1
1100000 12.6883354 1 M 2
1000000  9.2605222 1 M 3
1100000  7.5787641 1 M 4
1110100 11.3873648 1 M 1
1011001  6.1544256 1 M 2
1011101 12.7005827 1 M 3
1011101 11.5110569 1 M 4
1010011  9.2355710 1 M 1
1000000 11.5199980 1 M 2
1000000 10.1052445 1 M 3
1111001  5.0664053 1 M 4
1000000 18.1441852 1 M 1
1000000 10.2374559 1 M 2
1000000  6.4955632 1 M 3
1110000  5.4193998 1 M 4
1110000 13.3138900 1 M 1
1000000  9.6941504 1 M 2
1000000 12.0679483 1 M 3
1110000 14.0644946 1 M 4
1110000 15.6524382 1 M 1
1101000 10.4828345 1 M 2
1011010 13.2537290 1 M 3
1010000  8.4156248 1 M 4
1000000  6.3117567 1 M 1
1110000  8.6367467 1 M 2
1000000  7.2710448 1 M 3
1000000 11.4252547 1 M 4
1000000 12.7481441 1 M 1
1000000 14.8554618 1 M 2
1000000 13.3157628 1 M 3
1010000 14.9328539 1 M 4
1010000 13.9462712 1 M 1
1111100  6.9097470 1 M 2
1000000  8.2109756 1 M 3
1000000  7.3477791 1 M 4
1010011 12.5192168 1 M 1
1000000  6.1765619 1 M 2
1000000 12.5619394 1 M 3
1110111 13.2290731 1 M 4
1000000 12.6024925 1 M 1
1110111  7.4939232 1 M 2
1000000 11.8806197 1 M 3
1000000  7.8248847 1 M 4
1111100 10.6976952 1 M 1
1000000  9.1591288 1 M 2
1010000 13.0915503 1 M 3
1000000 13.9970291 1 M 4
1010000 16.7996532 1 M 1
1000000  9.2433557 1 M 2
1000000  9.1110865 1 M 3
1111000  4.0248170 1 M 4
1000000 12.3664377 1 M 1
1011101  8.1101151 1 M 2
1100000  6.3245243 1 M 3
1100000  8.7023746 1 M 4
1011111 12.0920518 1 M 1
1010000  4.6072614 1 M 2
1000000  7.9364301 1 M 3
1000000  1.4937411 1 M 4
1000000 13.3427887 1 M 1
1000000  5.5540418 1 M 2
1000000 11.6255250 1 M 3
1000000  6.6102328 1 M 4
1010000  9.5892227 1 M 1
1010000 14.4849193 1 M 2
1000000 10.9555644 1 M 3
1111011  6.9250953 1 M 4
1000000  5.1332593 1 M 1
1000000 11.8938885 1 M 2
1010101  7.5183079 1 M 3
1000000 12.1359460 1 M 4
1000000 10.4429572 1 M 1
1000000  7.5923711 1 M 2
1000000  8.7194936 1 M 3
1000000 11.0753850 1 M 4
1110000 15.1792483 1 M 1
1000000 13.8134169 1 M 2
1110000  6.9714523 1 M 3
1110000  8.3027784 1 M 4
1000000 15.5106044 1 M 1
1000000 14.8805338 1 M 2
1000000 14.2413783 1 M 3
1110000 12.0966952 1 M 4
1010111  9.0578222 1 M 1
1000000  6.8433411 1 M 2
1010000 11.1844321 1 M 3
1000000  8.8103614 1 M 4
1000000  4.4063317 1 M 1
1000000 11.7689161 1 M 2
1000000  7.8223277 1 M 3
1000000 10.4575293 1 M 4
1000000  5.0791433 1 M 1
1110000 16.2318604 1 M 2
1011000  8.4180252 1 M 3
1000000  6.2408733 1 M 4
1000000  7.3263064 1 M 1
1000000 11.1563749 1 M 2
1000000  7.0303847 1 M 3
1010111  3.3938196 1 M 4
1110101 13.1630927 1 M 1
1000000 17.1328307 1 M 2
1110000  8.8041170 1 M 3
1111000  7.0544279 1 M 4
1000000  4.1399877 1 M 1
1110000  9.3405017 1 M 2
1000000  9.6086432 1 M 3
1010000  9.0353514 1 M 4
1110000 11.2044057 1 M 1
1100000 11.5171263 1 M 2
1000000  7.8019182 1 M 3
1000000 13.6376235 1 M 4
1000000  9.4087221 1 M 1
1000000 12.1382959 1 M 2
1000000  8.0381986 1 M 3
1010000  8.3739087 1 M 4
1000000 14.1937370 1 M 1
1110000  8.0565856 1 M 2
1000000 13.0204093 1 M 3
1000000 14.2653980 1 M 4
1110000  8.3529150 1 M 1
1000000 12.4557479 1 M 2
1000000  8.9439731 1 M 3
1110000 11.2055756 1 M 4
1100101 10.4648205 1 M 1
1000000 10.6643990 1 M 2
1011100  8.9261880 1 M 3
1000000  9.2106698 1 M 4
1000000 12.6504111 1 M 1
1000000 11.9334598 1 M 2
1000000  9.6393747 1 M 3
1010000 12.6104819 1 M 4
1000000 16.6865455 1 M 1
1000000  8.3307306 1 M 2
1011000  8.5610868 1 M 3
1110000 12.4159161 1 M 4
1110000 12.4374494 1 M 1
1000000  8.5337788 1 M 2
1000000  9.3275825 1 M 3
1011100 14.6684529 1 M 4
1000000  6.3871127 1 M 1
1000000  7.9558644 1 M 2
1000000  7.5062784 1 M 3
1000000  8.2164082 1 M 4
1011001 11.8571744 1 M 1
1000000 10.2750832 1 M 2
1000000 14.3750309 1 M 3
1100010 10.0326292 1 M 4
1000000  8.4861521 1 M 1
1011011  8.6565840 1 M 2
1110101 13.0718158 1 M 3
1110110 14.0618004 1 M 4
1000000  6.3691887 1 M 1
1010111 10.8954642 1 M 2
1000000  5.2721107 1 M 3
1110000 12.1104907 1 M 4
1000000  9.4027880 1 M 1
1000000  6.1646619 1 M 2
1110111 13.0841179 1 M 3
1000000 14.5804290 1 M 4
1010001  2.7775787 1 M 1
1110000  5.4047362 1 M 2
1000000  6.5699901 1 M 3
1110000  8.9626035 1 M 4
1000000 11.4139818 1 M 1
1000000 11.1511347 1 M 2
1010000 10.4949026 1 M 3
1000000  9.2156301 1 M 4
1000000  9.1978291 1 M 1
1110000 14.1500320 1 M 2
1010111 10.8184943 1 M 3
1110000 12.0644575 1 M 4
1000000 14.6299635 1 M 1
1000000 13.2555383 1 M 2
1000000 10.1797742 1 M 3
1000000  9.1367829 1 M 4
1000000  9.1322447 1 M 1
1011000  4.1559322 1 M 2
1000000  9.1902924 1 M 3
1111100  8.8475109 1 M 4
1100100 12.3975708 1 M 1
1110000  9.8594327 1 M 2
1111101 11.3318997 1 M 3
1000000 11.2469671 1 M 4
1000000 10.2537362 1 M 1
1000000  9.1765636 1 M 2
1000000  6.0475518 1 M 3
1010000 18.6400766 1 M 4
1100100 10.4704073 1 M 1
1000000  8.6749746 1 M 2
1000000 10.8426121 1 M 3
1010000  6.3239849 1 M 4
1010101 13.3442041 1 M 1
1010000  4.3011793 1 M 2
1000000  6.9007911 1 M 3
1100000  4.4652101 1 M 4
1000000  9.8662157 1 M 1
1010000 13.8064141 1 M 2
1110111  7.6203182 1 M 3
1000000  6.9046394 1 M 4
1110111  9.1752469 1 M 1
1000000  2.8047113 1 M 2
1011110  6.6605103 1 M 3
1000000 11.2552806 1 M 4
1111100  8.5201388 1 M 1
1010010  5.8671010 1 M 2
1000000 10.2262491 1 M 3
1000000  8.2586278 1 M 4
1000000  7.1559134 1 M 1
1110000 14.2420141 1 M 2
1000000 14.5829054 1 M 3
1111001 12.6313127 1 M 4
1000000  7.7954412 1 M 1
1110000  8.5087335 1 M 2
1011101  9.7400538 1 M 3
1111110  6.1841228 1 M 4
1000000  9.4531294 1 M 1
1010000  9.1124568 1 M 2
1110100  9.2060953 1 M 3
1011111 11.2048432 1 M 4
1111001 10.2523433 1 M 1
1000000  6.5126108 1 M 2
1000000 10.6803730 1 M 3
1000000  8.8080186 1 M 4
1111100 13.4827588 1 M 1
1000000  9.2147736 1 M 2
1000000 10.2885095 1 M 3
1010000  7.9171298 1 M 4
1000000  8.7371567 1 M 1
1000000  8.7618089 1 M 2
1000000 11.5280650 1 M 3
1110011 11.1493035 1 M 4
1000000 12.1050578 1 M 1
1111000  8.3673330 1 M 2
1000000  9.2063750 1 M 3
1000000 12.9365820 1 M 4
1000000 15.9794280 1 M 1
1010110  8.9634724 1 M 2
1000000 11.1102482 1 M 3
1000000 13.4009713 1 M 4
1100000  7.1114488 1 M 1
1000000 15.6253333 1 M 2
1100000  7.5054000 1 M 3
1000000  7.0038934 1 M 4
1010000 11.5919500 1 M 1
1111111  8.1598231 1 M 2
1000000 12.4215106 1 M 3
1000000 14.0546345 1 M 4
1110000 11.2874580 1 M 1
1000000  7.4986902 1 M 2
1000000  8.7682842 1 M 3
1010111  7.5067406 1 M 4
1000000 10.4410333 1 M 1
1110000 13.4562319 1 M 2
1000000  6.9480105 1 M 3
1000000 11.1504464 1 M 4
1000000 11.0381951 1 M 1
1000000 11.5313146 1 M 2
1000000  8.7302745 1 M 3
1011001  7.3574078 1 M 4
1111100 11.2540016 1 M 1
1111001  7.2533365 1 M 2
1000000 13.6846633 1 M 3
1000000 10.6469234 1 M 4
1100100  5.8496350 1 M 1
1001000  9.0322131 1 M 2
1010000 10.8787383 1 M 3
1000000 15.6344304 1 M 4
1110000  9.4680740 1 M 1
1000000 15.6108885 1 M 2
1000000  9.4561906 1 M 3
1000000 10.1805362 1 M 4
1110100  7.9191306 1 M 1
1000000  9.5434862 1 M 2
1010000  4.6514045 1 M 3
1000000  6.9255756 1 M 4
1000000 15.1545882 1 M 1
1000000  8.8730293 1 M 2
1011000 10.2379184 1 M 3
1000000  9.4016393 1 M 4
1010000 13.6424931 1 M 1
1000000  8.2275249 1 M 2
1100110 11.4955269 1 M 3
1100000 12.0527191 1 M 4
1000000 11.7615687 1 M 1
1010101 11.5860482 1 M 2
1010000 12.2029234 1 M 3
1000000  9.4507401 1 M 4
1110000  7.7640132 1 M 1
1100000  9.9251453 1 M 2
1000000 10.0634644 1 M 3
1100000 13.3799329 1 M 4
1010000  9.4779570 1 M 1
1000000  4.9901502 1 M 2
1000000 14.6108728 1 M 3
1000000 10.8777445 1 M 4
1000000 12.0390845 1 M 1
1000000 11.4180536 1 M 2
1000000  7.0776526 1 M 3
1000000  7.5542656 1 M 4
1110101  6.7436114 1 M 1
1000000 16.2854584 1 M 2
1000000 10.4656503 1 M 3
1100000 14.7083443 1 M 4
1000101 14.6290839 1 M 1
1000000 14.2592119 1 M 2
1100000  0.1819579 1 M 3
1110000  6.3420379 1 M 4
1011110 13.8745758 1 M 1
1100000 11.3062794 1 M 2
1000000  4.2667308 1 M 3
1010011 12.6465263 1 M 4
1111100 10.7607846 1 M 1
1000000  8.6440275 1 M 2
1000000 15.4690775 1 M 3
1000000 10.3659267 1 M 4
1000000  9.5932186 1 M 1
1110000 14.0783772 1 M 2
1010111  5.7052319 1 M 3
1110000 13.4691643 1 M 4
1000000 10.1123878 1 M 1
1010000 10.5467181 1 M 2
1000000 13.3046308 1 M 3
1110100 11.8143448 1 M 4
1110000 13.3488167 1 M 1
1011100 11.2933803 1 M 2
1000000  4.5773865 1 M 3
1000000  7.0966520 1 M 4
1000000  8.8304216 1 M 1
1000000  8.8877968 1 M 2
1010000 11.5599758 1 M 3
1110000  7.7676776 1 M 4
1000000 11.2312096 1 M 1
1011101  9.9570308 1 M 2
1000000  9.8488977 1 M 3
1000000 10.5007656 1 M 4
1000000  4.7205303 1 M 1
1111111  5.8232092 1 M 2
1110000  5.3397969 1 M 3
1000000 12.6024898 1 M 4
1110110 13.0201558 1 M 1
1000000 12.4597803 1 M 2
1000000  9.3614551 1 M 3
1000000  3.1201618 1 M 4
1000111  9.9817558 1 M 1
1000000 16.7224301 1 M 2
1000000 10.5621964 1 M 3
1000000 12.3888947 1 M 4
1000000 14.3366187 1 M 1
1000000 10.5831339 1 M 2
1000000 13.6761275 1 M 3
1000000  8.4545165 1 M 4
1010111  7.4700826 1 M 1
1100100  8.8171063 1 M 2
1000000 11.6581673 1 M 3
1110101 11.6708272 1 M 4
1110000  7.0738479 1 M 1
1000000  7.2873284 1 M 2
1110000  7.1350685 1 M 3
1000000 15.0433305 1 M 4
1010000 12.7441824 1 M 1
1000000  9.7372092 1 M 2
1000000  9.9662772 1 M 3
1000000  5.3953998 1 M 4
1010000  8.1205861 1 M 1
1010000 11.4189382 1 M 2
1011000  9.6381884 1 M 3
1000000  9.4566654 1 M 4
1000000  2.8596186 1 M 1
1010000 11.0605852 1 M 2
1000000 12.2490730 1 M 3
1000000 10.0478004 1 M 4
1000000 12.2639253 1 M 1
1000000 10.4680266 1 M 2
1000000 12.5566963 1 M 3
1000000  9.4054247 1 M 4
1011111 10.8079663 1 M 1
1010110  9.9886055 1 M 2
1111101  8.9958321 1 M 3
1011111  9.8742542 1 M 4
1010111  7.6341557 1 M 1
1010000 11.3841811 1 M 2
1110111 11.0984330 1 M 3
1000000  9.9115235 1 M 4
1000000 11.4344140 1 M 1
1000000 10.8141524 1 M 2
1000000  8.5659730 1 M 3
1110100 13.6680751 1 M 4
1000000  7.3223646 1 M 1
1000000  9.2030832 1 M 2
1000000  6.4846796 1 M 3
1000000  8.5476432 1 M 4
1000000 10.4090330 1 M 1
1000000 10.0647839 1 M 2
1000000 12.5991497 1 M 3
1000100 10.0082415 1 M 4
1100000  9.8436519 1 M 1
1100100  7.5120806 1 M 2
1000000  6.4191786 1 M 3
1111100 16.4513706 1 M 4
1000000 11.1316980 1 M 1
1100000 13.2273536 1 M 2
1000000 13.3573919 1 M 3
1010100 12.6521720 1 M 4
1100000 17.8227246 1 M 1
1111111  9.7576636 1 M 2
1110101 13.7183972 1 M 3
1000000  7.6975869 1 M 4
1000000  7.9342855 1 M 1
1000000 11.5418336 1 M 2
1000000 13.1543977 1 M 3
1000000  5.4400258 1 M 4
1010000  9.9401868 1 M 1
1010100 12.5561288 1 M 2
1110100  7.1405828 1 M 3
1000000  6.2513599 1 M 4
1010000  8.9299598 1 M 1
1000000  8.6542819 1 M 2
1000000 12.0379774 1 M 3
1110001 10.6677052 1 M 4
1000000 15.2569689 1 M 1
1000000 10.1457793 1 M 2
1010000  6.9126572 1 M 3
1000000  8.0539136 1 M 4
1000000 10.5318509 1 M 1
1000000  9.6483886 1 M 2
1100000 11.8545979 1 M 3
1010000 10.6814257 1 M 4
1000000 12.1415935 1 M 1
1110000 15.0712433 1 M 2
1011001  9.2340526 1 M 3
1000000  9.0479842 1 M 4
1000000  9.0945826 1 M 1
