FirstFound	LastPresent	LastChecked	Fate	Freq	Robel	PpnGrass	Native	Planted	Wetland	Roadside	AgeFound	AgeDay1
63	67	67	0	1	4.625	0.8666	0	1	0	0	27	-35
62	67	67	0	1	5	0.6684	1	0	0	0	26	-35
63	67	67	0	1	4.375	0.6684	0	1	0	0	28	-34
43	55	60	1	1	3.375	0.5079	0	1	0	0	8	-34
40	50	56	1	1	2.375	0.3344	0	1	0	0	5	-34
60	60	65	1	1	5.5	0.6684	1	0	0	0	25	-34
42	64	68	1	1	1.75	0.5079	1	0	0	0	7	-34
59	70	70	0	1	4.5	0.6684	0	1	0	0	24	-34
42	66	66	0	1	2.875	0.3344	0	0	1	0	7	-34
40	40	44	1	1	4.625	0.7265	1	0	0	0	6	-33
46	46	52	1	1	5.25	0.4651	0	1	0	0	12	-33
58	63	63	0	1	4.875	0.8666	0	1	0	0	24	-33
40	60	64	1	1	3.375	0.3344	0	1	0	0	6	-33
40	50	56	1	1	2.875	0.3344	0	1	0	0	6	-33
42	46	46	0	1	5.375	0.4651	0	1	0	0	8	-33
40	44	50	1	1	2.875	0.3344	0	1	0	0	6	-33
42	42	48	1	1	2.625	0.3344	0	0	1	0	9	-32
57	66	68	1	1	4.75	0.6684	0	1	0	0	24	-32
63	67	67	0	1	2.75	0.8666	0	1	0	0	30	-32
40	44	50	1	1	4.625	0.7265	1	0	0	0	7	-32
47	67	67	0	1	4.375	0.7281	0	1	0	0	14	-32
57	57	61	1	1	4.25	0.6684	0	1	0	0	24	-32
40	44	50	1	1	4	0.3344	0	1	0	0	7	-32
38	55	65	1	1	4.875	0.3344	1	0	0	0	5	-32
56	56	63	1	1	4.5	0.6684	0	0	0	1	24	-31
58	63	63	0	1	5.875	0.8666	1	0	0	0	26	-31
60	66	66	0	1	5.25	0.6684	1	0	0	0	28	-31
40	66	66	0	1	2.875	0.3344	1	0	0	0	8	-31
40	50	56	1	1	3	0.3344	0	1	0	0	8	-31
40	63	63	0	1	3.25	0.3344	0	1	0	0	8	-31
47	63	63	0	1	4.25	0.4651	0	1	0	0	15	-31
37	65	65	0	1	4.75	0.4651	0	1	0	0	5	-31
60	66	66	0	1	5.125	0.8666	0	0	0	1	28	-31
38	38	44	1	1	5.5	0.3344	1	0	0	0	7	-30
40	40	44	1	1	3	0.3344	0	1	0	0	9	-30
41	63	63	0	1	5	0.5079	0	1	0	0	10	-30
44	65	65	0	1	3.5	0.8666	0	1	0	0	13	-30
42	46	46	0	1	5.125	0.4651	0	1	0	0	11	-30
55	63	63	0	1	5.125	0.4651	0	1	0	0	24	-30
47	66	66	0	1	2.75	0.4651	0	1	0	0	16	-30
41	57	62	1	1	3.875	0.7265	0	1	0	0	10	-30
48	66	66	0	1	6.25	0.7281	0	0	0	1	17	-30
40	40	44	1	1	3.375	0.3344	0	1	0	0	9	-30
55	63	63	0	1	4.875	0.4651	0	1	0	0	25	-29
40	40	44	1	1	3.5	0.3344	0	1	0	0	10	-29
41	62	65	1	1	4	0.5079	0	1	0	0	11	-29
38	38	43	1	1	2	0.3344	1	0	0	0	8	-29
58	58	64	1	1	5.125	0.8666	0	1	0	0	28	-29
41	45	51	1	1	3.375	0.3344	0	1	0	0	11	-29
36	36	41	1	1	2.75	0.3344	0	0	0	1	6	-29
40	40	44	1	1	2.875	0.3344	0	1	0	0	10	-29
62	63	63	0	1	2.5	0.6684	1	0	0	0	32	-29
38	38	44	1	1	4.25	0.3344	0	0	0	1	8	-29
35	40	45	1	1	4.125	0.3344	0	1	0	0	5	-29
36	64	64	0	1	4.25	0.3344	0	1	0	0	6	-29
35	35	40	1	1	2.875	0.3344	1	0	0	0	5	-29
36	41	46	1	1	2.75	0.3344	0	1	0	0	7	-28
40	61	61	0	1	3	0.3344	0	1	0	0	11	-28
47	63	63	0	1	3	0.4651	0	1	0	0	18	-28
31	31	36	1	1	4.125	0.6587	0	1	0	0	2	-28
34	37	42	1	1	1.75	0.1876	0	0	1	0	5	-28
55	63	63	0	1	5.25	0.4651	0	1	0	0	26	-28
38	43	49	1	1	3.875	0.3344	1	0	0	0	9	-28
35	35	40	1	1	3.75	0.3344	1	0	0	0	6	-28
40	64	64	0	1	2.5	0.4651	0	1	0	0	11	-28
36	36	42	1	1	2	0.3344	1	0	0	0	7	-28
31	60	60	0	1	1.25	0.1876	1	0	0	0	3	-27
38	55	60	1	1	3.625	0.3344	1	0	0	0	10	-27
35	57	57	0	1	3.25	0.3344	0	1	0	0	7	-27
43	63	63	0	1	3.5	0.4651	0	1	0	0	15	-27
43	47	55	1	1	3.625	0.5079	0	1	0	0	15	-27
29	29	34	1	1	3.375	0.1876	0	1	0	0	2	-26
43	59	59	0	1	3.875	0.5079	0	1	0	0	16	-26
40	55	55	0	1	2	0.7265	0	0	1	0	13	-26
41	45	51	1	1	2.5	0.3344	0	1	0	0	14	-26
54	62	62	0	1	4.5	0.4651	0	1	0	0	27	-26
36	51	51	0	1	4.625	0.3344	0	1	0	0	9	-26
37	42	48	1	1	4	0.3344	1	0	0	0	10	-26
43	59	59	0	1	3.5	0.5079	0	1	0	0	16	-26
41	62	62	0	1	3.5	0.5079	0	1	0	0	14	-26
40	55	61	1	1	6.75	0.7265	1	0	0	0	13	-26
30	42	42	0	1	4.875	0.6587	1	0	0	0	3	-26
36	59	59	0	1	4.125	0.3344	0	1	0	0	10	-25
31	31	36	1	1	3.375	0.6587	0	1	0	0	5	-25
54	59	61	1	1	4.625	0.4651	1	0	0	0	28	-25
35	52	56	1	1	3	0.3344	0	1	0	0	9	-25
42	46	46	0	1	5.125	0.4651	0	1	0	0	16	-25
38	55	60	1	1	2.75	0.3344	1	0	0	0	12	-25
54	61	61	0	1	2.875	0.4651	0	1	0	0	28	-25
54	61	61	0	1	3.875	0.4651	0	1	0	0	28	-25
27	31	31	0	1	3.4	0.6587	1	0	0	0	1	-25
34	58	58	0	1	5.125	0.9671	1	0	0	0	8	-25
40	50	56	1	1	3.5	0.3344	0	1	0	0	14	-25
48	55	60	1	1	3.25	0.7281	1	0	0	0	23	-24
31	31	36	1	1	2.875	0.6587	0	1	0	0	6	-24
31	31	36	1	1	3.75	0.6587	0	1	0	0	6	-24
31	42	46	1	1	4	0.6587	0	1	0	0	6	-24
31	46	54	1	1	3.625	0.6587	0	1	0	0	6	-24
31	58	58	0	1	4.875	0.6587	0	1	0	0	6	-24
34	34	38	1	1	4.5	0.9671	1	0	0	0	9	-24
31	58	58	0	1	3.625	0.9671	0	1	0	0	6	-24
31	42	46	1	1	2.5	0.9671	0	1	0	0	6	-24
40	44	50	1	1	3.25	0.3344	0	1	0	0	15	-24
43	59	59	0	1	4.875	0.5079	0	1	0	0	18	-24
41	50	50	0	1	3	0.3344	0	1	0	0	17	-23
29	29	34	1	1	3.125	0.1876	0	1	0	0	5	-23
36	36	40	1	1	2.875	0.3344	0	1	0	0	12	-23
41	45	51	1	1	3	0.3344	0	1	0	0	17	-23
25	25	29	1	1	4.25	0.9671	1	0	0	0	1	-23
36	52	58	1	1	4.5	0.3344	0	1	0	0	12	-23
31	42	46	1	1	3.375	0.9671	0	0	0	1	7	-23
31	58	58	0	1	4.375	0.6587	0	1	0	0	7	-23
31	31	42	1	1	4.75	0.1876	1	0	0	0	7	-23
31	56	56	0	1	2	0.1876	1	0	0	0	7	-23
31	31	36	1	1	1.75	0.1876	1	0	0	0	7	-23
31	46	54	1	1	4	0.6587	0	1	0	0	7	-23
30	56	56	0	1	1.125	0.6587	0	1	0	0	6	-23
25	30	35	1	1	3.375	0.6587	1	0	0	0	2	-22
31	31	36	1	1	3.75	0.6587	0	1	0	0	8	-22
32	34	34	0	1	4.25	0.9671	1	0	0	0	9	-22
47	47	51	1	1	4.25	0.7281	0	1	0	0	24	-22
29	29	34	1	1	3.125	0.1876	0	1	0	0	6	-22
30	30	41	1	1	3.25	0.6587	0	1	0	0	7	-22
26	35	35	0	1	2.25	0.9671	0	1	0	0	3	-22
35	41	45	1	1	4.625	0.3344	0	1	0	0	12	-22
52	58	58	0	1	4.25	0.4651	1	0	0	0	29	-22
26	30	30	0	1	1.75	0.9671	1	0	0	0	3	-22
26	48	48	0	1	2.125	0.6587	0	1	0	0	4	-21
31	55	55	0	1	4.375	0.6587	0	1	0	0	9	-21
28	35	40	1	1	5.125	0.1876	0	1	0	0	6	-21
34	34	37	1	1	3	0.1876	0	1	0	0	12	-21
31	31	36	1	1	3.5	0.6587	0	1	0	0	9	-21
31	42	46	1	1	2.625	0.9671	0	1	0	0	9	-21
29	40	45	1	1	3.625	0.1876	0	1	0	0	8	-20
41	41	45	1	1	2.875	0.3344	0	1	0	0	20	-20
35	56	56	0	1	3.375	0.3344	0	1	0	0	14	-20
27	30	34	1	1	0.75	0.9671	1	0	0	0	6	-20
29	29	34	1	1	3.125	0.1876	0	1	0	0	8	-20
25	25	32	1	1	3.125	0.6587	1	0	0	0	4	-20
31	31	36	1	1	4	0.6587	0	1	0	0	10	-20
31	53	53	0	1	3.5	0.9671	0	1	0	0	10	-20
22	45	53	1	1	1	0.6587	0	0	0	0	1	-20
40	40	44	1	1	2.625	0.3344	1	0	0	0	20	-19
26	40	45	1	1	3.75	0.6587	1	0	0	0	6	-19
26	26	30	1	1	1.375	0.6587	1	0	0	0	6	-19
29	34	37	1	1	3.5	0.1876	0	1	0	0	9	-19
41	55	55	0	1	3.875	0.7265	0	1	0	0	21	-19
40	54	54	0	1	5.625	0.7265	1	0	0	0	20	-19
40	40	44	1	1	3	0.3344	0	1	0	0	20	-19
29	51	51	0	1	2.25	0.1876	0	1	0	0	10	-18
31	46	54	1	1	3.625	0.6587	0	1	0	0	12	-18
27	34	40	1	1	2.375	0.9671	0	1	0	0	8	-18
26	30	35	1	1	2.875	0.9671	0	1	0	0	7	-18
27	30	35	1	1	4	0.9671	0	1	0	0	8	-18
25	49	54	1	1	4.375	0.9671	1	0	0	0	6	-18
23	51	51	0	1	3.125	0.9378	0	1	0	0	4	-18
23	23	27	1	1	2.25	0.6587	0	1	0	0	4	-18
32	53	53	0	1	4.167	0.9671	0	0	1	0	13	-18
45	50	54	1	1	3.875	0.4651	1	0	0	0	26	-18
27	37	42	1	1	4	0.6587	1	0	0	0	8	-18
28	54	54	0	1	2.875	0.1876	0	0	0	1	9	-18
29	40	45	1	1	3	0.1876	0	1	0	0	10	-18
26	35	41	1	1	2.5	0.9671	0	1	0	0	8	-17
26	40	40	0	1	1.5	0.9671	0	1	0	0	8	-17
29	29	34	1	1	2.375	0.1876	0	1	0	0	11	-17
36	53	53	0	1	4.375	0.3344	0	1	0	0	18	-17
35	53	53	0	1	2.625	0.3344	0	1	0	0	17	-17
47	52	52	0	1	4.375	0.8666	0	1	0	0	29	-17
31	46	53	1	1	3.375	0.9671	0	1	0	0	13	-17
25	25	29	1	1	2.75	0.9671	0	0	0	1	7	-17
31	52	52	0	1	1.625	0.9671	1	0	0	0	13	-17
46	51	51	0	1	5.5	0.4651	0	1	0	0	28	-17
36	40	45	1	1	3.75	0.3344	0	1	0	0	18	-17
30	30	41	1	1	2.25	0.6587	0	1	0	0	12	-17
26	30	30	0	1	2.25	0.9671	1	0	0	0	9	-16
24	52	52	0	1	3.625	0.6587	1	0	0	0	7	-16
41	50	50	0	1	2	0.7265	0	1	0	0	24	-16
40	49	49	0	1	2.375	0.7265	0	0	1	0	23	-16
29	52	52	0	1	4.375	0.6587	1	0	0	0	12	-16
36	46	46	0	1	1.75	0.3344	1	0	0	0	20	-15
31	51	51	0	1	3.5	0.9671	0	1	0	0	15	-15
43	50	51	1	1	4.5	0.8666	0	1	0	0	27	-15
40	51	51	0	1	5.625	0.3344	1	0	0	0	24	-15
40	49	49	0	1	5.125	0.7265	1	0	0	0	24	-15
32	44	44	0	1	5.75	0.1876	1	0	0	0	16	-15
20	31	31	0	1	2.625	0.9378	1	0	0	0	5	-14
19	19	21	1	1	3.25	0.9378	1	0	0	0	4	-14
23	32	37	1	1	3.125	0.6587	0	1	0	0	8	-14
47	48	48	0	1	3	0.8666	0	1	0	0	32	-14
44	48	48	0	1	3	0.8666	0	1	0	0	29	-14
21	30	30	0	1	3.625	0.9248	1	0	0	0	6	-14
22	22	27	1	1	1.375	0.9378	0	0	1	0	7	-14
25	46	46	0	1	5.375	0.6587	1	0	0	0	10	-14
29	44	50	1	1	4.5	0.6587	1	0	0	0	14	-14
29	29	34	1	1	2.625	0.1876	0	1	0	0	14	-14
41	50	50	0	1	3.75	0.3344	0	1	0	0	26	-14
38	38	43	1	1	3.75	0.3344	1	0	0	0	23	-14
40	46	46	0	1	2.625	0.3344	0	1	0	0	26	-13
21	30	41	1	1	1	0.9248	1	0	0	0	7	-13
21	25	30	1	1	3.125	0.9248	1	0	0	0	7	-13
40	49	49	0	1	3.375	0.3344	0	1	0	0	26	-13
36	49	49	0	1	6.25	0.3344	0	1	0	0	22	-13
40	49	49	0	1	6.75	0.7265	1	0	0	0	26	-13
43	44	44	0	1	3.5	0.5079	0	1	0	0	29	-13
23	46	46	0	1	5	0.9378	0	1	0	0	9	-13
22	37	42	1	1	2.75	0.9378	0	0	0	1	8	-13
31	49	49	0	1	3.25	0.6587	0	1	0	0	17	-13
23	46	46	0	1	3.625	0.9378	0	1	0	0	9	-13
44	44	48	1	1	5.125	0.4651	1	0	0	0	30	-13
40	48	48	0	1	3.25	0.3344	0	1	0	0	26	-13
17	17	23	1	1	2.625	0.9248	1	0	0	0	4	-12
47	48	48	0	1	3.5	0.8666	0	1	0	0	34	-12
35	46	46	0	1	3.5	0.1876	0	1	0	0	22	-12
22	47	47	0	1	2.25	0.6587	0	1	0	0	9	-12
16	22	22	0	1	3.125	0.9248	0	1	0	0	3	-12
20	28	31	1	1	1	0.9378	1	0	0	0	7	-12
17	23	29	1	1	5.875	0.9248	1	0	0	0	4	-12
29	29	34	1	1	3.5	0.1876	0	1	0	0	16	-12
32	43	47	1	1	4.5	0.9671	1	0	0	0	19	-12
29	40	45	1	1	3.125	0.1876	0	1	0	0	16	-12
23	47	47	0	1	3.25	0.6587	0	1	0	0	11	-11
19	46	46	0	1	2.625	0.6607	0	0	1	0	7	-11
20	36	36	0	1	1	0.9378	1	0	0	0	8	-11
25	29	32	1	1	3.375	0.9671	1	0	0	0	13	-11
27	31	37	1	1	2.375	0.6587	1	0	0	0	15	-11
21	25	29	1	1	2.125	0.9378	0	1	0	0	9	-11
21	29	34	1	1	1.75	0.9378	0	0	0	1	9	-11
35	47	47	0	1	3.625	0.3344	0	1	0	0	23	-11
21	31	36	1	1	2.625	0.9378	0	1	0	0	9	-11
42	47	47	0	1	4.25	0.5079	1	0	0	0	30	-11
22	37	42	1	1	1.375	0.9378	0	0	1	0	10	-11
21	44	44	0	1	1.625	0.9378	0	0	0	1	10	-10
29	34	37	1	1	2	0.1876	0	1	0	0	18	-10
20	42	46	1	1	3.375	0.9248	1	0	0	0	9	-10
20	20	24	1	1	2.375	0.9378	0	0	1	0	9	-10
12	21	25	1	1	0.875	0.8765	0	0	0	1	1	-10
30	46	46	0	1	2.375	0.6587	0	1	0	0	19	-10
14	24	29	1	1	5	0.6607	1	0	0	0	3	-10
14	21	25	1	1	4.375	0.9248	1	0	0	0	3	-10
17	17	22	1	1	2.375	0.6607	0	1	0	0	6	-10
13	13	17	1	1	3.375	0.8765	0	1	0	0	2	-10
13	13	17	1	1	3.25	0.8765	0	1	0	0	2	-10
13	21	21	0	1	3.375	0.8765	0	1	0	0	2	-10
17	17	22	1	1	2.625	0.6607	0	1	0	0	6	-10
23	42	42	0	1	2.875	0.9378	0	1	0	0	12	-10
21	46	46	0	1	2	0.9378	0	0	0	1	10	-10
21	46	46	0	1	2.25	0.9378	0	1	0	0	10	-10
32	44	44	0	1	4.75	0.9671	1	0	0	0	22	-9
23	27	32	1	1	3.25	0.6587	0	1	0	0	13	-9
16	22	22	0	1	4.875	0.9248	0	1	0	0	6	-9
15	24	27	1	1	3.625	0.9248	0	1	0	0	5	-9
21	29	34	1	1	1.875	0.9378	0	0	0	1	11	-9
36	41	41	0	1	3.125	0.3344	0	1	0	0	26	-9
12	45	45	0	1	2.5	0.229	0	0	1	0	2	-9
20	20	24	1	1	1.875	0.9378	0	0	0	1	11	-8
35	41	41	0	1	2.5	0.1876	0	1	0	0	26	-8
25	43	43	0	1	5	0.9671	1	0	0	0	16	-8
26	44	44	0	1	2.75	0.9671	0	1	0	0	17	-8
31	44	44	0	1	3.5	0.9671	1	0	0	0	22	-8
16	35	41	1	1	3.5	0.6607	0	1	0	0	7	-8
22	25	31	1	1	6	0.6587	1	0	0	0	13	-8
27	31	37	1	1	2.125	0.6587	1	0	0	0	18	-8
31	44	44	0	1	3.5	0.6587	0	1	0	0	22	-8
9	9	13	1	1	5.125	0.9197	0	1	0	0	1	-7
16	34	34	0	1	4.25	0.6607	0	1	0	0	8	-7
13	43	43	0	1	2.25	0.6607	0	1	0	0	5	-7
11	15	21	1	1	3.375	0.229	0	1	0	0	3	-7
21	36	36	0	1	3.5	0.9378	0	0	0	1	13	-7
16	16	21	1	1	2.875	0.6607	0	1	0	0	8	-7
13	13	17	1	1	2.25	0.8765	0	0	1	0	5	-7
15	15	20	1	1	3.125	0.9248	0	1	0	0	7	-7
31	43	43	0	1	3.125	0.6587	0	1	0	0	23	-7
13	17	17	0	1	2.75	0.8765	0	1	0	0	6	-6
8	8	12	1	1	3.625	0.9378	1	0	0	0	1	-6
15	20	25	1	1	6.375	0.6607	1	0	0	0	8	-6
22	25	31	1	1	2.625	0.6587	1	0	0	0	15	-6
24	37	37	0	1	2.25	0.9671	1	0	0	0	17	-6
16	25	29	1	1	2.875	0.6607	0	1	0	0	9	-6
24	39	39	0	1	3.625	0.9671	0	0	1	0	17	-6
25	41	41	0	1	1.625	0.9671	0	0	0	1	18	-6
10	42	42	0	1	4.25	0.229	0	1	0	0	3	-6
23	27	32	1	1	2.75	0.6587	0	1	0	0	16	-6
16	35	35	0	1	3.5	0.6607	0	1	0	0	9	-6
17	41	41	0	1	1.625	0.9248	1	0	0	0	10	-6
26	39	39	0	1	5.5	0.6587	1	0	0	0	20	-5
7	12	17	1	1	4.375	0.229	0	0	1	0	1	-5
17	34	40	1	1	4.375	0.9248	1	0	0	0	11	-5
16	40	40	0	1	4.125	0.6607	0	1	0	0	10	-5
25	32	33	1	1	3.375	0.9671	1	0	0	0	19	-5
11	15	21	1	1	3.125	0.8765	1	0	0	0	5	-5
14	20	20	0	1	4.125	0.6607	1	0	0	0	8	-5
15	25	29	1	1	0.875	0.6607	1	0	0	0	9	-5
16	39	39	0	1	3.75	0.6607	0	1	0	0	10	-5
20	24	28	1	1	2.25	0.9378	0	0	0	1	15	-4
9	40	40	0	1	1.375	0.9197	1	0	0	0	4	-4
11	34	38	1	1	2.75	0.8765	1	0	0	0	6	-4
23	36	36	0	1	2.25	0.9378	0	1	0	0	18	-4
14	37	37	0	1	0.625	0.9248	1	0	0	0	9	-4
22	22	27	1	1	1	0.9378	1	0	0	0	17	-4
22	40	40	0	1	4.875	0.9378	1	0	0	0	17	-4
21	40	40	0	1	2.125	0.9248	1	0	0	0	16	-4
10	10	15	1	1	3.25	0.229	0	1	0	0	5	-4
23	23	27	1	1	2.75	0.6587	0	1	0	0	18	-4
10	10	14	1	1	3	0.9197	0	1	0	0	5	-4
28	32	38	1	1	3.625	0.6587	1	0	0	0	23	-4
16	34	34	0	1	3.375	0.6607	0	1	0	0	11	-4
34	38	38	0	1	4.25	0.9671	1	0	0	0	29	-4
13	32	32	0	1	1.875	0.6607	0	1	0	0	8	-4
13	28	32	1	1	3.25	0.6607	0	0	0	0	8	-4
13	28	32	1	1	1.5	0.229	0	0	0	0	8	-4
12	16	22	1	1	3.25	0.229	0	0	0	1	7	-4
11	35	35	0	1	1.25	0.229	1	0	0	0	6	-4
10	24	27	1	1	3.625	0.9197	0	1	0	0	5	-4
6	15	20	1	1	4	0.229	0	1	0	0	1	-4
13	21	21	0	1	3.125	0.8765	0	1	0	0	9	-3
10	10	15	1	1	3.5	0.229	0	1	0	0	6	-3
10	15	21	1	1	3.25	0.229	0	1	0	0	6	-3
10	25	29	1	1	3.375	0.229	0	1	0	0	6	-3
10	15	21	1	1	5.875	0.229	0	0	1	0	6	-3
10	10	15	1	1	3.25	0.229	0	1	0	0	6	-3
10	10	15	1	1	5	0.229	0	1	0	0	6	-3
11	15	21	1	1	3.375	0.229	0	0	1	0	7	-3
13	23	28	1	1	2.5	0.229	1	0	0	0	9	-3
13	32	37	1	1	2.625	0.229	0	0	1	0	9	-3
13	20	23	1	1	3.125	0.6607	0	1	0	0	9	-3
15	25	29	1	1	2.125	0.6607	1	0	0	0	11	-3
8	8	12	1	1	1.75	0.9197	1	0	0	0	4	-3
9	31	31	0	1	3.5	0.9197	0	0	1	0	5	-3
9	25	31	1	1	3.125	0.9197	1	0	0	0	5	-3
10	20	24	1	1	2.125	0.9197	0	1	0	0	6	-3
10	27	27	0	1	3.375	0.9197	0	1	0	0	6	-3
11	21	24	1	1	4.125	0.8765	1	0	0	0	7	-3
21	21	25	1	1	4.25	0.9248	1	0	0	0	17	-3
13	30	30	0	1	2.75	0.8765	0	1	0	0	9	-3
